"partnerDesc","reporterDesc","cmdCode","qtyUnitAbbr","qty","altQtyUnitAbbr","altQty","primaryValue","bricsflag","date","gold_price"
"Germany","South Africa","710812","kg",9,"g",8555,340523.849,"w",2017-02-01,39686.82408
"Germany","South Africa","710812","kg",9,"g",8555,340523.849,"w",2017-02-01,39686.82408
"Germany","South Africa","710812","kg",9,"g",8555,340523.849,"w",2017-02-01,39686.82408
"Germany","South Africa","710812","kg",9,"g",8555,340523.849,"w",2017-02-01,39686.82408
"Canada","South Africa","7108","kg",225.775,"g",225775,8676869.565,"w",2017-03-01,39580.72677
"China","South Africa","7108","kg",12424.808,NA,NA,486882558,"b",2017-03-01,39580.72677
"Canada","South Africa","7108","kg",225.775,"g",225775,8676869.565,"w",2017-03-01,39580.72677
"Canada","South Africa","710812","kg",225.775,"g",225775,8676869.565,"w",2017-03-01,39580.72677
"China","South Africa","710812","kg",8786.424,NA,NA,346116308,"b",2017-03-01,39580.72677
"Canada","South Africa","710812","kg",225.775,"g",225775,8676869.565,"w",2017-03-01,39580.72677
"China","South Africa","710813","kg",3638.384,NA,NA,140766250,"b",2017-03-01,39580.72677
"Germany","South Africa","7108","kg",2.967,"g",2967,109563.99,"w",2017-03-01,39580.72677
"China, Hong Kong SAR","South Africa","7108","kg",1518,"kg",1518,59954525.631,"b",2017-03-01,39580.72677
"Germany","South Africa","7108","kg",2.967,"g",2967,109563.99,"w",2017-03-01,39580.72677
"China, Hong Kong SAR","South Africa","7108","kg",1518,"kg",1518,59954525.631,"b",2017-03-01,39580.72677
"Germany","South Africa","7108","kg",2.967,"g",2967,109563.99,"w",2017-03-01,39580.72677
"Germany","South Africa","7108","kg",2.967,"g",2967,109563.99,"w",2017-03-01,39580.72677
"Germany","South Africa","710812","kg",2.967,"g",2967,109563.99,"w",2017-03-01,39580.72677
"China, Hong Kong SAR","South Africa","710812","kg",1518,"kg",1518,59954525.631,"b",2017-03-01,39580.72677
"Germany","South Africa","710812","kg",2.967,"g",2967,109563.99,"w",2017-03-01,39580.72677
"China, Hong Kong SAR","South Africa","710812","kg",1518,"kg",1518,59954525.631,"b",2017-03-01,39580.72677
"Germany","South Africa","710812","kg",2.967,"g",2967,109563.99,"w",2017-03-01,39580.72677
"Germany","South Africa","710812","kg",2.967,"g",2967,109563.99,"w",2017-03-01,39580.72677
"Italy","South Africa","7108","kg",480,"g",479277,19214428.68,"w",2017-03-01,39580.72677
"China, Macao SAR","South Africa","7108","kg",1,"kg",1,38703.726,NA,2017-03-01,39580.72677
"Mauritius","South Africa","7108",NA,NA,NA,NA,824890.542,NA,2017-03-01,39580.72677
"China, Macao SAR","South Africa","7108","kg",1,"kg",1,38703.726,NA,2017-03-01,39580.72677
"Italy","South Africa","710812","kg",480,"g",479277,19214428.68,"w",2017-03-01,39580.72677
"Mauritius","South Africa","710812",NA,NA,NA,NA,824109,NA,2017-03-01,39580.72677
"China, Macao SAR","South Africa","710813","kg",1,"kg",1,38703.726,NA,2017-03-01,39580.72677
"Mauritius","South Africa","710813",NA,NA,NA,NA,781.542,NA,2017-03-01,39580.72677
"China, Macao SAR","South Africa","710813","kg",1,"kg",1,38703.726,NA,2017-03-01,39580.72677
"Namibia","South Africa","7108","kg",1,"kg",1,34.147,NA,2017-03-01,39580.72677
"Poland","South Africa","7108","kg",1,"g",1081,42568,"w",2017-03-01,39580.72677
"Saudi Arabia","South Africa","7108","kg",1000,"kg",1000,19608291.177,NA,2017-03-01,39580.72677
"Namibia","South Africa","7108","kg",1,"kg",1,34.147,NA,2017-03-01,39580.72677
"Namibia","South Africa","710812","kg",1,"kg",1,34.147,NA,2017-03-01,39580.72677
"Saudi Arabia","South Africa","710812","kg",1000,"kg",1000,19608291.177,NA,2017-03-01,39580.72677
"Namibia","South Africa","710812","kg",1,"kg",1,34.147,NA,2017-03-01,39580.72677
"Poland","South Africa","710813","kg",1,"g",1081,42568,"w",2017-03-01,39580.72677
"India","South Africa","7108","kg",8775,"kg",8775,347767822.372,"b",2017-03-01,39580.72677
