typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20180101,2018,52,2018,404,KEN,Kenya,X,Export,784,ARE,United Arab Emirates,0,W00,World,H4,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8,false,15,g,3600,false,8,false,0,false,,122855.931,122855.931,0,false,true
C,A,20180101,2018,52,2018,404,KEN,Kenya,X,Export,842,USA,USA,0,W00,World,H4,HS,true,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,false,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,false,15,g,1000,false,,false,0,false,,88.974,88.974,0,false,true
C,A,20180101,2018,52,2018,710,ZAF,South Africa,X,Export,0,W00,World,0,W00,World,H5,HS,true,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,true,-1,N/A,0,false,1.103,true,0,false,0,6213.001,6213.001,6,false,true
C,A,20180101,2018,52,2018,710,ZAF,South Africa,X,Export,72,BWA,Botswana,0,W00,World,H5,HS,true,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,false,-1,N/A,0,false,1,false,0,false,0,1889.883,1889.883,0,false,true
C,A,20180101,2018,52,2018,710,ZAF,South Africa,X,Export,516,NAM,Namibia,0,W00,World,H5,HS,true,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,true,-1,N/A,0,false,0.093,true,0,false,0,3884.483,3884.483,6,false,true
C,A,20180101,2018,52,2018,710,ZAF,South Africa,X,Export,748,SWZ,Eswatini,0,W00,World,H5,HS,true,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,true,-1,N/A,0,false,0.01,true,0,false,0,438.634,438.634,6,false,true
C,A,20180101,2018,52,2018,404,KEN,Kenya,X,Export,0,W00,World,0,W00,World,H4,HS,true,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,20,false,15,g,15663,false,,false,0,false,,577305.508,577305.508,0,false,true
C,A,20180101,2018,52,2018,404,KEN,Kenya,X,Export,124,CAN,Canada,0,W00,World,H4,HS,true,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,false,15,g,1000,false,1,false,0,false,,37828.033,37828.033,0,true,false
C,A,20180101,2018,52,2018,404,KEN,Kenya,X,Export,344,HKG,"China, Hong Kong SAR",0,W00,World,H4,HS,true,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,7,false,15,g,7000,false,7,false,0,false,,281538.32,281538.32,0,true,false
C,A,20180101,2018,52,2018,404,KEN,Kenya,X,Export,410,KOR,Rep. of Korea,0,W00,World,H4,HS,true,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,false,15,g,214,false,1,false,0,false,,7483.969,7483.969,0,true,false
C,A,20180101,2018,52,2018,404,KEN,Kenya,X,Export,634,QAT,Qatar,0,W00,World,H4,HS,true,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2,false,15,g,2000,false,2,false,0,false,,93656.013,93656.013,0,true,false
C,A,20180101,2018,52,2018,404,KEN,Kenya,X,Export,757,CHE,Switzerland,0,W00,World,H4,HS,true,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,true,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,false,15,g,1000,false,1,false,0,false,,39873.619,39873.619,0,true,false
