"date","reporterDesc","partnerDesc","cmdCode","qtyUnitAbbr","qty","altQtyUnitAbbr","altQty","primaryValue","bricsflag"
2022-01-01,"Kenya","Spain",7108,"kg",1,"g",1000,53166.738,"w"
2022-01-01,"Kenya","Switzerland",7108,"kg",79.234,"g",79234,3592842.906,"w"
2022-01-01,"Kenya","United Arab Emirates",7108,"kg",81.297,"g",81297,3335713.621,NA
2022-01-01,"Kenya","Turkey",7108,"kg",0.036,"g",36.1,2053.614,"w"
2022-01-01,"Kenya","United Kingdom",7108,"kg",0.835,"g",834.8,395015.87,"w"
2022-01-01,"Kenya","USA",7108,"kg",1.926,"g",1926,113324.74,"w"
2022-01-01,"Kenya","Germany",710812,"kg",0.266,"g",266.3,13124.206,"w"
2022-01-01,"Kenya","China, Hong Kong SAR",710812,"kg",1,"g",1000,56737.956,"b"
2022-01-01,"Kenya","Italy",710812,"kg",1,"g",1000,47961.199,"w"
2022-01-01,"Kenya","Rep. of Korea",710812,"kg",11,"g",11000,629976.494,"w"
2022-01-01,"Kenya","Nigeria",710812,"kg",1,"g",1000,55236.017,NA
2022-01-01,"Kenya","Paraguay",710812,"kg",0.5,"g",500,453.732,NA
2022-01-01,"Kenya","Slovenia",710812,"kg",0.156,"g",155.6,8370.134,"w"
2022-01-01,"Kenya","Spain",710812,"kg",1,"g",1000,53166.738,"w"
2022-01-01,"Kenya","United Arab Emirates",710812,"kg",8.591,"g",8591,414494.11,NA
2022-01-01,"Kenya","Turkey",710812,"kg",0.036,"g",36.1,2053.614,"w"
2022-01-01,"Kenya","USA",710812,"kg",1.926,"g",1926,113324.74,"w"
2022-01-01,"Kenya","South Africa",710813,"kg",492.912,"g",492911.6,24133432.622,"b"
2022-01-01,"Kenya","Switzerland",710813,"kg",79.234,"g",79234,3592842.906,"w"
2022-01-01,"Kenya","United Arab Emirates",710813,"kg",72.706,"g",72706,2921219.511,NA
2022-01-01,"Kenya","United Kingdom",710813,"kg",0.835,"g",834.8,395015.87,"w"
2022-01-01,"South Africa","Botswana",7108,NA,NA,NA,NA,471.574,NA
2022-01-01,"South Africa","Namibia",7108,"kg",61.97,NA,NA,176583.813,NA
2022-01-01,"South Africa","Eswatini",7108,NA,NA,NA,NA,189.473,NA
2022-01-01,"South Africa","Areas, nes",7108,"kg",91406.58,"kg",91406.58,5264733256.581,NA
2022-01-01,"South Africa","Botswana",710811,NA,NA,"kg",20,349.661,NA
2022-01-01,"South Africa","Namibia",710811,NA,NA,"kg",54.02,146419.628,NA
2022-01-01,"South Africa","Botswana",710812,NA,NA,"kg",450,121.914,NA
2022-01-01,"South Africa","Namibia",710812,"kg",1.78,"kg",1.78,12571.157,NA
2022-01-01,"South Africa","Eswatini",710812,NA,NA,"kg",5,74.713,NA
2022-01-01,"South Africa","Namibia",710813,"kg",8.17,"kg",8.17,17593.029,NA
2022-01-01,"South Africa","Eswatini",710813,NA,NA,"kg",14.19,114.76,NA
2022-01-01,"South Africa","Areas, nes",710813,"kg",91406.58,"kg",91406.58,5264733256.581,NA
2023-01-01,"Kenya","China",7108,NA,NA,NA,NA,225209.284,"b"
2023-01-01,"Kenya","China, Hong Kong SAR",7108,"kg",25,"g",25000,1028922.779,"b"
2023-01-01,"Kenya","Japan",7108,"kg",1.984,"g",1984,129432.044,"w"
2023-01-01,"Kenya","South Africa",7108,"kg",493.43,"g",493430.2,25425531.45,"b"
2023-01-01,"Kenya","United Arab Emirates",7108,"kg",126.839,"g",126838.7,6659957.487,NA
2023-01-01,"Kenya","China",710812,NA,NA,"g",4066000,225209.284,"b"
