"date","partnerDesc","reporterDesc","cmdCode","qtyUnitAbbr","qty","altQtyUnitAbbr","altQty","primaryValue","bricsflag"
2018-01-01,"Thailand","South Africa",7108,"kg",5999,"kg",5999,238116518.38,NA
2018-01-01,"United Arab Emirates","South Africa",7108,"kg",29049.66,"kg",29049.66,990131626.582,NA
2018-01-01,"Eswatini","South Africa",710812,"kg",0.011,NA,NA,437.08,NA
2018-01-01,"Switzerland","South Africa",710812,"kg",46104,"kg",46104,1612584055.747,"w"
2018-01-01,"Thailand","South Africa",710812,"kg",5999,"kg",5999,238116518.38,NA
2018-01-01,"United Arab Emirates","South Africa",710812,"kg",29028.8,"kg",29028.8,989356461.306,NA
2018-01-01,"Switzerland","South Africa",710813,"kg",54,"kg",54,1984987.224,"w"
2018-01-01,"United Arab Emirates","South Africa",710813,"kg",20.86,"kg",20.86,775165.275,NA
2018-01-01,"Uganda","Kenya",7108,"kg",1405,"g",1416380,51249587,NA
2018-01-01,"USA","Kenya",7108,"kg",1.762,NA,NA,74500,"w"
2018-01-01,"USA","Kenya",710812,"kg",1.762,NA,NA,74500,"w"
2018-01-01,"Uganda","Kenya",710813,"kg",1405,"g",1416380,51249587,NA
2018-01-01,"Turkey","South Africa",7108,"kg",12777.225,"g",12777225,541420679,"w"
2018-01-01,"Uganda","South Africa",7108,"kg",513,"g",515249,20195526,NA
2018-01-01,"United Kingdom","South Africa",7108,"kg",97266,"g",97262145,3946548408.91,"w"
2018-01-01,"USA","South Africa",7108,"kg",6436.02,NA,NA,253297805,"w"
2018-01-01,"Zambia","South Africa",7108,"kg",0.408,NA,NA,19226.604,NA
2018-01-01,"Zambia","South Africa",710811,"kg",0.408,"g",2,19226.604,NA
2018-01-01,"Turkey","South Africa",710812,"kg",12777.225,"g",12777225,541420679,"w"
2018-01-01,"USA","South Africa",710812,"kg",6435.02,NA,NA,253257907,"w"
2018-01-01,"Uganda","South Africa",710813,"kg",513,"g",515249,20195526,NA
2018-01-01,"United Kingdom","South Africa",710813,"kg",97266,"g",97262145,3946548408.91,"w"
2018-01-01,"USA","South Africa",710813,"kg",1,NA,NA,39898,"w"
2019-01-01,"Australia","South Africa",7108,"kg",1.091,NA,NA,44291.866,"w"
2019-01-01,"Belgium","South Africa",7108,"kg",667.328,"g",667328,27120761.966,"w"
2019-01-01,"Australia","South Africa",710811,"kg",0.471,NA,NA,18339.36,"w"
2019-01-01,"Australia","South Africa",710812,"kg",0.619,NA,NA,25952.506,"w"
2019-01-01,"Belgium","South Africa",710813,"kg",667.328,"g",667328,27120761.966,"w"
2019-01-01,"Canada","South Africa",7108,"kg",2618.898,"g",2618898,109571712.978,"w"
2019-01-01,"China","South Africa",7108,"kg",135688.44,"g",135688440,6125154371,"b"
2019-01-01,"Czechia","South Africa",7108,"kg",36.522,"g",36522,634453,"w"
2019-01-01,"Czechia","South Africa",710811,"kg",36.37,"g",36370,627835,"w"
2019-01-01,"Canada","South Africa",710812,"kg",2618.898,"g",2618898,109571712.978,"w"
2019-01-01,"China","South Africa",710812,"kg",90698.37,"g",90698370,4023362496,"b"
2019-01-01,"China","South Africa",710813,"kg",44990.07,"g",44990070,2101791875,"b"
2019-01-01,"Czechia","South Africa",710813,"kg",0.152,"g",152,6618,"w"
2019-01-01,"France","South Africa",7108,"kg",0.001,"g",1,181.382,"w"
2019-01-01,"France","South Africa",710813,"kg",0.001,"g",1,181.382,"w"
2019-01-01,"Germany","South Africa",7108,"kg",349.626,"g",349626,17574380.557,"w"
2019-01-01,"China, Hong Kong SAR","South Africa",7108,"kg",12961,"kg",12961,573524761.69,"b"
2019-01-01,"Germany","South Africa",710812,"kg",349.626,"g",349626,17574380.557,"w"
2019-01-01,"China, Hong Kong SAR","South Africa",710812,"kg",12961,"kg",12961,573524761.69,"b"
2019-01-01,"Rep. of Korea","Kenya",7108,"kg",2,"kg",2,92856,"w"
2019-01-01,"Rep. of Korea","Kenya",710812,"kg",2,"kg",2,92856,"w"
2019-01-01,"Ireland","South Africa",7108,"kg",0.085,"g",85,125696.892,"w"
2019-01-01,"Italy","South Africa",7108,"kg",18705.4,NA,NA,669546149.926,"w"
2019-01-01,"Lebanon","South Africa",7108,"kg",26.22,"kg",26.22,1200795.76,NA
2019-01-01,"Luxembourg","South Africa",7108,"kg",0.536,"kg",0.536,18027.439,"w"
2019-01-01,"Mauritius","South Africa",7108,"kg",48,"kg",48,1884620.929,NA
2019-01-01,"Italy","South Africa",710812,"kg",10016.4,"g",10016400,368988594.029,"w"
2019-01-01,"Lebanon","South Africa",710812,"kg",26.22,"kg",26.22,1200795.76,NA
2019-01-01,"Mauritius","South Africa",710812,"kg",45,"kg",45,1882459.681,NA
2019-01-01,"Ireland","South Africa",710813,"kg",0.085,"g",85,125696.892,"w"
2019-01-01,"Italy","South Africa",710813,"kg",8689,"kg",8689,300557555.897,"w"
2019-01-01,"Luxembourg","South Africa",710813,"kg",0.536,"kg",0.536,18027.439,"w"
2019-01-01,"Mauritius","South Africa",710813,"kg",3,"kg",3,2161.248,NA
2019-01-01,"Netherlands","Kenya",7108,"kg",1.492,"g",1492,52827.688,"w"
2019-01-01,"Rwanda","Kenya",7108,"kg",924.74,"kg",924.74,42706276.3,NA
2019-01-01,"Rwanda","Kenya",710812,"kg",924.74,"kg",924.74,42706276.3,NA
2019-01-01,"Netherlands","Kenya",710813,"kg",1.492,"g",1492,52827.688,"w"
2019-01-01,"Other Asia, nes","South Africa",7108,"kg",9,"kg",9,434891.68,NA
2019-01-01,"Namibia","South Africa",7108,NA,NA,NA,NA,1723.284,NA
2019-01-01,"Nepal","South Africa",7108,"kg",0.011,NA,NA,446.18,NA
2019-01-01,"Norway","South Africa",7108,"kg",39,"kg",39,905009.399,"w"
2019-01-01,"Poland","South Africa",7108,"kg",0.063,"g",63,3169,"w"
2019-01-01,"Rwanda","South Africa",7108,"kg",1511.17,"kg",1511.17,67937458.94,NA
2019-01-01,"Saudi Arabia","South Africa",7108,"kg",5550,"kg",5550,243173869.02,NA
2019-01-01,"Other Asia, nes","South Africa",710812,"kg",9,"kg",9,434891.68,NA
2019-01-01,"Nepal","South Africa",710812,"kg",0.011,"kg",NA,446.18,NA
2019-01-01,"Rwanda","South Africa",710812,"kg",1511.17,"kg",1511.17,67937458.94,NA
2019-01-01,"Saudi Arabia","South Africa",710812,"kg",5550,"kg",5550,243173869.02,NA
2019-01-01,"Namibia","South Africa",710813,NA,NA,"kg",36.67,1723.284,NA
2019-01-01,"Norway","South Africa",710813,"kg",39,"kg",39,905009.399,"w"
2019-01-01,"Poland","South Africa",710813,"kg",0.063,"g",63,3169,"w"
2019-01-01,"South Africa","Kenya",7108,"kg",6,NA,NA,19.441,"b"
2019-01-01,"South Africa","Kenya",710812,"kg",6,NA,NA,19.441,"b"
2019-01-01,"India","South Africa",7108,"kg",36052,NA,NA,1604319420.581,"b"
2019-01-01,"Singapore","South Africa",7108,"kg",230,"kg",230,10485207.038,NA
2019-01-01,"Slovenia","South Africa",7108,"kg",0.012,"g",11.97,564.86,"w"
2019-01-01,"India","South Africa",710812,"kg",36052,NA,NA,1604319420.581,"b"
2019-01-01,"Singapore","South Africa",710813,"kg",230,"kg",230,10485207.038,NA
2019-01-01,"Slovenia","South Africa",710813,"kg",0.012,"g",11.97,564.86,"w"
2019-01-01,"Spain","Kenya",7108,"kg",2.992,"g",2992,110440.687,"w"
2019-01-01,"Spain","Kenya",710812,"kg",2.992,"g",2992,110440.687,"w"
2019-01-01,"Switzerland","Kenya",7108,"kg",61,"kg",61,2032563.093,"w"
2019-01-01,"Thailand","Kenya",7108,NA,NA,NA,NA,23.585,NA
2019-01-01,"United Arab Emirates","Kenya",7108,"kg",4564.21,"kg",4564.21,175932296.322,NA
2019-01-01,"Thailand","Kenya",710811,NA,NA,"kg",2,23.585,NA
2019-01-01,"Switzerland","Kenya",710812,"kg",61,"kg",61,2032563.093,"w"
2019-01-01,"United Arab Emirates","Kenya",710812,"kg",4564.21,"kg",4564.21,175932296.322,NA
2019-01-01,"Eswatini","South Africa",7108,"kg",0.393,NA,NA,871.04,NA
2019-01-01,"Switzerland","South Africa",7108,"kg",60695.044,NA,NA,2192061414.619,"w"
2019-01-01,"Thailand","South Africa",7108,NA,NA,NA,NA,41776721.224,NA
2019-01-01,"United Arab Emirates","South Africa",7108,"kg",25817.97,"kg",25817.97,979936522.244,NA
2019-01-01,"Thailand","South Africa",710811,NA,NA,"kg",5,28.495,NA
2019-01-01,"Eswatini","South Africa",710812,"kg",0.012,NA,NA,487.45,NA
2019-01-01,"Switzerland","South Africa",710812,"kg",60687,"kg",60687,2191758573.213,"w"
2019-01-01,"Thailand","South Africa",710812,"kg",959,"kg",959,41776692.729,NA
2019-01-01,"United Arab Emirates","South Africa",710812,"kg",25674.68,"kg",25674.68,974645256.715,NA
2019-01-01,"Eswatini","South Africa",710813,"kg",0.381,NA,NA,383.59,NA
2019-01-01,"Switzerland","South Africa",710813,"kg",8.044,NA,NA,302841.406,"w"
2019-01-01,"United Arab Emirates","South Africa",710813,"kg",143.29,"kg",143.29,5291265.53,NA
2019-01-01,"Uganda","Kenya",7108,"kg",6892.014,"g",6892014,276878248.07,NA
2019-01-01,"Uganda","Kenya",710813,"kg",6892.014,"g",6892014,276878248.07,NA
2019-01-01,"Turkey","South Africa",7108,"kg",3913.028,"g",3913028,166727814,"w"
2019-01-01,"Uganda","South Africa",7108,"kg",2935.108,"g",2935108,121088260.17,NA
2019-01-01,"United Kingdom","South Africa",7108,"kg",83025.987,"g",83025987,3830087076.427,"w"
2019-01-01,"USA","South Africa",7108,"kg",2841.9,NA,NA,136579256,"w"
2019-01-01,"Zambia","South Africa",7108,"kg",0.001,NA,NA,5486.616,NA
2019-01-01,"Turkey","South Africa",710812,"kg",3913.028,"g",3913028,166727814,"w"
2019-01-01,"USA","South Africa",710812,"kg",2839.78,NA,NA,136489302,"w"
2019-01-01,"Zambia","South Africa",710812,"kg",0.001,"g",1,5474.188,NA
2019-01-01,"Uganda","South Africa",710813,"kg",2935.108,"g",2935108,121088260.17,NA
2019-01-01,"United Kingdom","South Africa",710813,"kg",83025.987,"g",83025987,3830087076.427,"w"
2019-01-01,"USA","South Africa",710813,"kg",2.12,NA,NA,89954,"w"
2019-01-01,"Zambia","South Africa",710813,"kg",NA,"g",NA,12.428,NA
2020-01-01,"Australia","South Africa",7108,"kg",2.616,NA,NA,140349.604,"w"
2020-01-01,"Belgium","South Africa",7108,"kg",616.76,"kg",616.76,29529496.464,"w"
2020-01-01,"Australia","South Africa",710812,"kg",2.616,NA,NA,140349.604,"w"
2020-01-01,"Belgium","South Africa",710813,"kg",616.76,"kg",616.76,29529496.464,"w"
2020-01-01,"Canada","South Africa",7108,"kg",8361.308,"g",8361308,490669302.474,"w"
2020-01-01,"China","South Africa",7108,"kg",22615.38,"g",22615380,1112843565,"b"
2020-01-01,"Denmark","South Africa",7108,"kg",0.031,"g",31,2180.017,"w"
2020-01-01,"Canada","South Africa",710812,"kg",8353.708,"g",8353708,490399333.943,"w"
2020-01-01,"China","South Africa",710812,"kg",17855.34,"g",17855340,879820996,"b"
2020-01-01,"Denmark","South Africa",710812,"kg",0.031,"g",31,2180.017,"w"
2020-01-01,"Canada","South Africa",710813,"kg",7.6,"g",7600,269968.531,"w"
2020-01-01,"China","South Africa",710813,"kg",4760.04,"g",4760040,233022569,"b"
2020-01-01,"France","South Africa",7108,"kg",1,"g",1000,27432.121,"w"
2020-01-01,"France","South Africa",710812,"kg",1,"g",1000,27432.121,"w"
2020-01-01,"Germany","South Africa",7108,"kg",1088.198,"g",1088198,55781142.299,"w"
2020-01-01,"China, Hong Kong SAR","South Africa",7108,"kg",6083,"kg",6083,317511817.769,"b"
