"refYear","reporterDesc","partnerDesc","cmdCode","qty","altQty","primaryValue"
2023,"Kenya","Japan",7108,1.984,1984,129432.044
2023,"Kenya","South Africa",7108,493.43,493430.2,25425531.45
2023,"Kenya","United Arab Emirates",7108,126.839,126838.7,6659957.487
2023,"Kenya","World",710812,0,4208716,7538086.676
2023,"Kenya","China",710812,0,4066000,225209.284
2023,"Kenya","China, Hong Kong SAR",710812,25,25000,1028922.779
2023,"Kenya","Japan",710812,1.984,1984,129432.044
2023,"Kenya","United Arab Emirates",710812,115.732,115732,6154522.569
2023,"Kenya","World",710813,504.537,504536.9,25930966.367
2023,"Kenya","South Africa",710813,493.43,493430.2,25425531.45
2023,"Kenya","United Arab Emirates",710813,11.107,11106.7,505434.917
2023,"South Africa","World",7108,0,0,6290623861.518
2023,"South Africa","Botswana",7108,0,0,365.74
2023,"South Africa","Lesotho",7108,0,0,10.786
2023,"South Africa","Namibia",7108,0,0,3746.725
2023,"South Africa","Eswatini",7108,0,0,245.579
2023,"South Africa","Areas, nes",7108,330343.77,330343.77,6290619492.687
2023,"South Africa","World",710811,0,108,384.385
2023,"South Africa","Botswana",710811,0,102,365.74
2023,"South Africa","Namibia",710811,0,1,0.542
2023,"South Africa","Eswatini",710811,0,5,18.103
2023,"South Africa","World",710812,0,14,227.477
2023,"South Africa","Eswatini",710812,0,14,227.477
2023,"South Africa","World",710813,0,330361.17,6290623249.656
2023,"South Africa","Lesotho",710813,0,2,10.786
2023,"South Africa","Namibia",710813,5.404,15.4,3746.183
2023,"South Africa","Areas, nes",710813,330343.77,330343.77,6290619492.687
